DefectID,ProductionID,DateKey,LineID,DefectTypeID,DefectCount
1,1.0,20240101.0,2.0,4,28
2,1.0,20240101.0,2.0,3,89
3,2.0,20240101.0,1.0,3,65
4,2.0,20240101.0,1.0,6,8
5,3.0,20240101.0,1.0,2,4
6,3.0,20240101.0,1.0,5,33
7,3.0,20240101.0,1.0,1,126
8,4.0,20240101.0,3.0,1,5
9,4.0,20240101.0,3.0,6,23
10,4.0,20240101.0,3.0,4,26
11,5.0,20240101.0,3.0,5,68
12,5.0,20240101.0,3.0,3,25
13,5.0,20240101.0,3.0,6,8
14,6.0,20240101.0,4.0,2,4
15,6.0,20240101.0,4.0,4,59
16,6.0,20240101.0,4.0,5,27
17,7.0,20240101.0,3.0,5,46
18,7.0,20240101.0,3.0,6,39
19,7.0,20240101.0,3.0,3,24
20,8.0,20240101.0,3.0,5,91
21,9.0,20240101.0,2.0,1,158
22,10.0,20240102.0,4.0,3,160
23,11.0,20240102.0,4.0,1,81
24,11.0,20240102.0,4.0,5,18
25,12.0,20240102.0,4.0,1,35
26,12.0,20240102.0,4.0,3,27
27,13.0,20240102.0,4.0,5,39
28,13.0,20240102.0,4.0,6,32
29,13.0,20240102.0,4.0,4,26
30,14.0,20240102.0,2.0,6,94
31,15.0,20240102.0,1.0,3,115
32,16.0,20240102.0,4.0,1,71
33,16.0,20240102.0,4.0,6,17
34,16.0,20240102.0,4.0,5,87
35,17.0,20240102.0,3.0,3,21
36,17.0,20240102.0,3.0,6,32
37,18.0,20240102.0,3.0,3,39
38,19.0,20240103.0,1.0,2,82
39,19.0,20240103.0,1.0,3,36
40,20.0,20240103.0,1.0,4,77
41,20.0,20240103.0,1.0,6,15
42,21.0,20240103.0,2.0,1,249
43,22.0,20240103.0,1.0,4,63
44,22.0,20240103.0,1.0,5,86
45,23.0,20240103.0,4.0,5,92
46,23.0,20240103.0,4.0,3,33
47,24.0,20240103.0,1.0,1,209
48,25.0,20240103.0,1.0,2,48
49,25.0,20240103.0,1.0,5,140
50,26.0,20240103.0,2.0,1,87
51,26.0,20240103.0,2.0,5,123
52,27.0,20240104.0,2.0,6,106
53,27.0,20240104.0,2.0,1,79
54,27.0,20240104.0,2.0,5,215
55,28.0,20240104.0,3.0,1,8
56,28.0,20240104.0,3.0,5,30
57,28.0,20240104.0,3.0,6,83
58,29.0,20240104.0,3.0,1,163
59,30.0,20240104.0,3.0,4,137
