ProductionID,DateKey,LineID,ShiftID,ProductID,UnitsProduced,UnitsDefective,DowntimeMinutes,ScrapCost
1,20240101,2,2,4,6282,117,1.0,2936.7
2,20240101,1,1,3,2973,73,17.0,1664.4
3,20240101,1,3,2,3937,163,10.8,2314.6
4,20240101,3,1,7,2620,54,0.6,1701.0
5,20240101,3,1,3,2857,101,1.7,2302.8
6,20240101,4,3,6,4044,90,0.0,639.0
7,20240101,3,2,2,2691,109,44.4,1547.8
8,20240101,3,2,8,1981,91,64.2,3084.9
9,20240101,2,3,5,6062,158,6.8,1011.2
10,20240102,4,2,2,4880,160,12.6,2272.0
11,20240102,4,1,3,4082,99,2.9,2257.2
12,20240102,4,2,2,4568,62,6.9,880.4
13,20240102,4,2,3,3463,97,1.0,2211.6
14,20240102,2,1,8,5975,94,76.4,3186.6
15,20240102,1,2,6,4298,115,28.8,816.5
16,20240102,4,2,5,4210,175,0.0,1120.0
17,20240102,3,1,6,2881,53,30.6,376.3
18,20240102,3,3,2,2235,39,23.3,553.8
19,20240103,1,3,7,4005,118,65.5,3717.0
20,20240103,1,1,8,4271,92,18.9,3118.8
21,20240103,2,3,1,6870,249,12.6,3112.5
22,20240103,1,2,7,3694,149,61.2,4693.5
23,20240103,4,2,8,5092,125,42.9,4237.5
24,20240103,1,1,6,3952,209,6.3,1483.9
25,20240103,1,3,3,4348,188,28.6,4286.4
26,20240103,2,1,5,5702,210,0.7,1344.0
27,20240104,2,3,3,7720,400,18.3,9120.0
28,20240104,3,1,7,2784,121,9.5,3811.5
29,20240104,3,1,2,2710,163,19.3,2314.6
30,20240104,3,2,8,2550,142,1.9,4813.8
31,20240104,2,3,3,5907,143,17.7,3260.4
32,20240104,3,2,5,2027,98,18.6,627.2
33,20240104,2,2,7,6202,138,1.3,4347.0
34,20240104,3,1,4,2791,87,0.7,2183.7
35,20240104,2,3,4,5735,133,15.6,3338.3
36,20240104,1,3,4,3755,160,31.5,4016.0
37,20240104,4,2,2,4555,144,6.9,2044.8
38,20240105,2,1,2,5753,188,48.1,2669.6
39,20240105,1,1,4,3935,97,17.3,2434.7
40,20240105,3,3,6,2988,82,53.0,582.2
41,20240105,3,1,6,2375,45,10.3,319.5
42,20240105,3,1,2,2780,95,8.5,1349.0
43,20240105,3,3,7,2540,81,46.5,2551.5
44,20240105,3,2,3,3303,79,15.8,1801.2
45,20240106,1,1,1,4214,41,1.5,512.5
46,20240106,4,2,2,3787,191,43.6,2712.2
47,20240106,4,2,4,5241,107,4.0,2685.7
48,20240106,2,2,4,6246,329,24.9,8257.9
49,20240106,2,2,8,5527,113,5.8,3830.7
50,20240106,3,3,1,2661,138,34.4,1725.0
51,20240107,3,3,3,2488,72,0.3,1641.6
52,20240107,1,1,6,4139,125,6.4,887.5
53,20240107,4,2,3,3677,158,0.0,3602.4
54,20240107,2,2,2,6031,257,65.1,3649.4
55,20240107,3,2,3,3155,195,7.9,4446.0
56,20240107,3,1,8,2663,152,3.1,5152.8
57,20240107,2,1,2,5801,12,17.3,170.4
58,20240107,1,3,8,3962,156,0.6,5288.4
59,20240107,1,2,6,3047,103,7.6,731.3
60,20240107,3,2,6,2502,63,8.1,447.3
61,20240107,3,2,3,2480,64,3.2,1459.2
62,20240108,1,1,4,4108,136,0.1,3413.6
63,20240108,3,3,5,2489,97,62.0,620.8
64,20240108,1,3,3,4093,129,7.0,2941.2
65,20240108,4,1,3,4174,157,15.6,3579.6
66,20240108,2,1,4,6122,189,3.6,4743.9
67,20240108,4,1,4,4328,107,25.3,2685.7
68,20240108,1,1,7,3445,16,6.5,504.0
69,20240108,2,2,6,4935,214,2.7,1519.4
70,20240109,3,1,2,3100,118,37.7,1675.6
71,20240109,4,2,2,3949,253,4.5,3592.6
72,20240109,3,2,5,2253,56,9.9,358.4
73,20240109,3,3,4,3186,128,46.0,3212.8
74,20240109,1,3,4,3601,93,3.3,2334.3
75,20240109,3,2,2,2962,78,0.1,1107.6
76,20240109,2,3,4,4918,131,10.8,3288.1
77,20240109,1,2,2,3341,76,4.3,1079.2
78,20240109,2,2,5,7852,239,1.2,1529.6
79,20240109,2,1,3,6218,272,6.3,6201.6
80,20240110,1,1,4,3116,69,18.6,1731.9
81,20240110,2,1,7,6519,105,0.4,3307.5
82,20240110,4,2,7,4626,146,4.1,4599.0
83,20240110,3,3,6,3055,137,43.5,972.7
84,20240110,4,1,8,4161,181,30.5,6135.9
85,20240110,1,3,4,3888,43,18.1,1079.3
86,20240110,4,3,3,3620,127,9.5,2895.6
87,20240110,4,2,4,4010,155,13.0,3890.5
88,20240111,4,3,1,4579,118,0.0,1475.0
89,20240111,1,2,1,3792,127,4.4,1587.5
90,20240111,1,2,8,3533,209,7.6,7085.1
91,20240111,2,2,4,6709,152,58.9,3815.2
92,20240111,3,2,2,2878,128,18.3,1817.6
93,20240111,3,3,8,2657,71,132.2,2406.9
94,20240111,3,3,4,2612,108,35.7,2710.8
95,20240111,1,1,5,3785,165,10.5,1056.0
96,20240111,2,3,3,6727,184,9.7,4195.2
97,20240111,1,3,6,3517,170,11.8,1207.0
98,20240112,2,1,3,5783,116,6.1,2644.8
99,20240112,1,2,2,3268,130,53.9,1846.0
100,20240112,2,3,5,6840,336,12.9,2150.4
101,20240112,1,3,5,4389,108,21.4,691.2
102,20240112,1,1,3,3474,93,39.5,2120.4
103,20240112,4,3,8,4372,130,8.7,4407.0
104,20240113,3,2,4,3042,60,15.0,1506.0
105,20240113,3,1,2,2783,121,20.5,1718.2
106,20240113,1,2,6,3853,114,0.0,809.4
107,20240113,3,3,8,2535,57,0.2,1932.3
108,20240113,4,3,3,3859,91,20.2,2074.8
109,20240113,1,1,3,3486,190,18.8,4332.0
110,20240113,3,2,4,2089,59,105.3,1480.9
111,20240113,2,2,4,6807,309,5.7,7755.9
112,20240113,4,2,8,3502,76,2.0,2576.4
113,20240113,1,2,6,3977,124,3.7,880.4
114,20240114,3,2,5,2686,112,28.7,716.8
115,20240114,4,2,5,4099,116,10.7,742.4
116,20240114,4,1,7,5156,193,49.9,6079.5
117,20240114,4,1,5,3704,101,2.6,646.4
118,20240114,1,3,4,3669,83,2.6,2083.3
119,20240114,1,1,6,4565,163,36.9,1157.3
120,20240115,1,3,1,3704,183,0.7,2287.5
121,20240115,1,1,2,3285,82,28.1,1164.4
122,20240115,1,1,8,3242,124,20.5,4203.6
123,20240115,3,2,8,2745,125,23.9,4237.5
124,20240115,3,1,3,2570,113,5.8,2576.4
125,20240115,1,3,6,3535,170,16.6,1207.0
126,20240115,1,3,4,3679,163,13.0,4091.3
127,20240116,3,3,5,2630,84,16.4,537.6
128,20240116,2,2,4,5813,259,5.1,6500.9
129,20240116,2,1,8,6874,197,29.5,6678.3
130,20240116,2,1,8,6523,198,0.7,6712.2
131,20240116,1,2,7,3812,141,36.4,4441.5
132,20240116,2,3,1,5472,196,3.8,2450.0
133,20240117,3,1,6,3382,110,36.6,781.0
134,20240117,3,1,2,2281,120,19.0,1704.0
135,20240117,1,1,3,3599,122,6.1,2781.6
136,20240117,4,1,8,4926,117,3.5,3966.3
137,20240117,3,2,5,2900,21,16.3,134.4
138,20240117,2,1,7,6706,173,13.2,5449.5
139,20240117,4,3,6,4867,172,17.8,1221.2
140,20240117,2,2,6,5863,213,1.9,1512.3
141,20240117,3,3,1,2399,124,67.7,1550.0
142,20240117,3,2,6,2675,59,5.3,418.9
143,20240118,3,3,8,2640,89,4.7,3017.1
144,20240118,4,3,4,4933,107,4.9,2685.7
145,20240118,3,1,6,2599,120,13.8,852.0
146,20240118,4,1,4,4860,48,15.3,1204.8
147,20240118,3,2,8,2113,84,1.5,2847.6
148,20240118,2,2,2,6355,263,1.3,3734.6
149,20240118,3,1,7,2152,37,97.2,1165.5
150,20240118,1,1,8,3826,55,1.8,1864.5
151,20240118,4,3,1,4093,155,15.0,1937.5
152,20240119,1,1,3,3619,96,7.5,2188.8
153,20240119,3,2,5,2766,74,15.4,473.6
154,20240119,3,1,4,2804,113,6.5,2836.3
155,20240119,2,1,1,6088,233,11.7,2912.5
156,20240119,4,3,2,3924,97,3.2,1377.4
157,20240119,3,2,2,1715,63,2.0,894.6
158,20240119,4,1,8,4128,114,89.9,3864.6
159,20240119,4,2,5,4168,104,16.2,665.6
160,20240119,3,1,3,2901,120,9.3,2736.0
161,20240120,2,1,1,5832,100,28.1,1250.0
162,20240120,3,1,4,2248,88,1.2,2208.8
163,20240120,2,3,2,5140,150,7.1,2130.0
164,20240120,1,2,3,3959,133,29.8,3032.4
165,20240120,2,1,1,5316,20,4.6,250.0
166,20240120,4,2,3,4627,107,0.0,2439.6
167,20240120,1,2,6,3278,124,3.4,880.4
168,20240120,3,1,5,2816,138,8.7,883.2
169,20240120,4,1,5,4333,159,0.0,1017.6
170,20240120,1,2,6,3853,79,1.8,560.9
171,20240121,3,1,1,2243,105,38.1,1312.5
172,20240121,2,3,1,6234,188,49.9,2350.0
173,20240121,3,3,6,3015,101,23.8,717.1
174,20240121,2,3,4,6236,253,25.8,6350.3
175,20240121,1,3,6,3902,161,6.7,1143.1
176,20240121,3,2,6,2377,97,57.1,688.7
177,20240121,4,2,4,5153,185,0.0,4643.5
178,20240121,3,3,1,2493,47,9.3,587.5
179,20240122,3,3,1,2947,119,5.7,1487.5
180,20240122,2,1,1,6398,152,13.2,1900.0
181,20240122,3,2,7,2302,128,18.2,4032.0
182,20240122,2,1,8,5097,173,8.1,5864.7
183,20240122,4,2,4,4674,125,0.4,3137.5
184,20240122,3,2,6,2274,74,1.5,525.4
185,20240122,1,2,5,3626,71,46.1,454.4
186,20240122,3,1,1,2288,23,33.5,287.5
187,20240122,4,1,6,4408,131,0.0,930.1
188,20240123,1,2,3,4107,67,4.0,1527.6
189,20240123,2,2,3,5562,274,1.7,6247.2
190,20240123,4,3,7,4629,211,12.1,6646.5
191,20240123,1,3,7,3694,166,24.9,5229.0
192,20240123,1,1,4,4129,112,14.2,2811.2
193,20240123,1,3,3,3788,148,25.0,3374.4
194,20240123,4,3,5,4066,12,4.1,76.8
195,20240123,2,2,3,5320,86,18.5,1960.8
196,20240124,1,1,1,3762,60,16.4,750.0
